Iso2,Continent
AW,North America
AF,Asia
AO,Africa
AI,North America
AX,Europe
AL,Europe
AD,Europe
AE,Asia
AR,South America
AM,Asia
AS,Oceania
AQ,Antarctica
AG,North America
AU,Oceania
AT,Europe
AZ,Asia
BI,Africa
BE,Europe
BJ,Africa
BV,Antarctica
BQ,North America
BF,Africa
BD,Asia
BG,Europe
BH,Asia
BS,North America
BA,Europe
BL,North America
BY,Europe
BZ,North America
BM,North America
BO,South America
BR,South America
BB,North America
BN,Asia
BT,Asia
BW,Africa
CF,Africa
CA,North America
CC,Asia
CH,Europe
CL,South America
CN,Asia
CI,Africa
CM,Africa
CD,Africa
CG,Africa
CK,Oceania
CO,South America
KM,Africa
CV,Africa
CR,North America
CU,North America
CW,North America
CX,Asia
KY,North America
CY,Asia
CZ,Europe
DE,Europe
DJ,Africa
DM,North America
DK,Europe
DO,North America
DZ,Africa
EC,South America
EG,Africa
ER,Africa
EH,Africa
ES,Europe
EE,Europe
ET,Africa
FI,Europe
FJ,Oceania
FK,South America
FR,Europe
FO,Europe
FM,Oceania
GA,Africa
GB,Europe
GE,Asia
GG,Europe
GH,Africa
GI,Europe
GN,Africa
GP,North America
GM,Africa
GW,Africa
GQ,Africa
GR,Europe
GD,North America
GL,North America
GT,North America
GF,South America
GU,Oceania
GY,South America
HK,Asia
HN,North America
HR,Europe
HM,Antarctica
HT,North America
HU,Europe
ID,Asia
IM,Europe
IN,Asia
IO,Asia
IE,Europe
IR,Asia
IQ,Asia
IS,Europe
IL,Asia
IT,Europe
JM,North America
JE,Europe
JO,Asia
JP,Asia
KZ,Asia
KE,Africa
KG,Asia
KH,Asia
KI,Oceania
KN,North America
KR,Asia
KW,Asia
LA,Asia
LB,Asia
LR,Africa
LY,Africa
LC,North America
LI,Europe
LK,Asia
LS,Africa
LT,Europe
LU,Europe
LV,Europe
MO,Asia
MF,North America
MA,Africa
MC,Europe
MD,Europe
MG,Africa
MV,Asia
MX,North America
MH,Oceania
MK,Europe
ML,Africa
MT,Europe
MM,Asia
ME,Europe
MN,Asia
MP,Oceania
MZ,Africa
MR,Africa
MS,North America
MQ,North America
MU,Africa
MW,Africa
MY,Asia
YT,Africa
NA,Africa
NC,Oceania
NE,Africa
NF,Oceania
NG,Africa
NI,North America
NU,Oceania
NL,Europe
NO,Europe
NP,Asia
NR,Oceania
NZ,Oceania
OM,Asia
PK,Asia
PA,North America
PE,South America
PH,Asia
PW,Oceania
PG,Oceania
PL,Europe
PR,North America
KP,Asia
PT,Europe
PY,South America
PS,Asia
PF,Oceania
PN,Oceania
QA,Asia
RE,Africa
RO,Europe
RU,Europe
RW,Africa
SA,Asia
SD,Africa
SN,Africa
SG,Asia
GS,Antarctica
SH,Africa
SB,Oceania
SL,Africa
SV,North America
SM,Europe
SO,Africa
PM,North America
RS,Europe
SS,Africa
ST,Africa
SR,South America
SK,Europe
SI,Europe
SE,Europe
SJ,Europe
SZ,Africa
SX,North America
SC,Africa
SY,Asia
TC,North America
TD,Africa
TF,Antarctica
TG,Africa
TH,Asia
TH,Asia
TJ,Asia
TK,Oceania
TM,Asia
TL,Asia
TO,Oceania
TT,North America
TN,Africa
TR,Asia
TV,Oceania
TW,Asia
TZ,Africa
UG,Africa
UA,Europe
UM,Oseania
UY,South America
US,North America
UZ,Asia
VA,Europe
VC,North America
VE,South America
VG,North America
VI,North America
VN,Asia
VU,Oceania
WF,Oceania
WS,Oceania
YE,Asia
ZA,Africa
ZM,Africa
ZW,Africa
